serie1,serie2,best_pearson,best_spearman,best_kendall,lag_pearson,lag_spearman,lag_kendall
GC=F.PctChange,PFE.PctChange,-0.08059967941064038,-0.0661514454624325,0.044921817917019165,-86,-86,-86
GC=F.PctChange,MRK.PctChange,-0.067338570530189,-0.05691611161165888,0.03778906241134276,151,114,114
GC=F.PctChange,ABBV.PctChange,0.060320823700962756,-0.0754561465282895,0.05028281088442362,-30,168,168
GC=F.PctChange,TMO.PctChange,-0.07801960069419368,-0.06157364917360017,0.04120911752869416,-8,-86,-86
GC=F.PctChange,XOM.PctChange,0.06555983057725213,0.06348933814956464,0.04268076742641749,0,-33,-33
GC=F.PctChange,CVX.PctChange,0.08837474287377267,0.05829364879785899,0.03968879233610479,0,0,0
GC=F.PctChange,COP.PctChange,-0.06558271343915159,-0.06035269365009773,0.04095989655539156,-126,-26,-26
GC=F.PctChange,SLB.PctChange,-0.07180534241797741,-0.06520762612369575,0.04401790677770543,53,-26,-26
GC=F.PctChange,AMZN.PctChange,-0.051434252251079185,-0.06722108700753038,0.0450596685258224,-86,-90,-90
GC=F.PctChange,TSLA.PctChange,0.0650846256420095,-0.057439994849216684,0.038412700290306884,-30,-52,-52
GC=F.PctChange,WMT.PctChange,-0.08453598607954928,0.06467062124089869,0.04335980064143415,153,-122,-122
GC=F.PctChange,HD.PctChange,-0.05744310713524485,-0.06100604573871073,0.040754610276641984,153,-120,-120
GC=F.PctChange,PG.PctChange,-0.07326797818720564,-0.07719032143952013,0.051415620466627295,153,153,153
GC=F.PctChange,KO.PctChange,-0.07338561981493252,-0.07132975599190851,0.04765402581751517,-166,-166,-166
GC=F.PctChange,MCD.PctChange,-0.07731820179476158,-0.048754483981781005,0.0328508285125998,-86,107,107
GC=F.PctChange,COST.PctChange,-0.08359430374157993,-0.0962608539472084,0.0639756050662904,153,153,153
GC=F.PctChange,TGT.PctChange,0.06150776349219467,-0.05319966376570006,0.03597902820445818,-125,-12,-12
GC=F.PctChange,GE.PctChange,-0.0651576743297228,-0.053792992985001495,0.03617956125696863,-3,0,0
GC=F.PctChange,HON.PctChange,-0.07270371560410226,-0.054746270969952195,0.03662148728677588,-3,-148,-148
GC=F.PctChange,CAT.PctChange,-0.05990012091422428,0.0603555777089112,0.04048236822946319,-126,144,144
GC=F.PctChange,UPS.PctChange,-0.05711126252651765,-0.06158028694472423,0.04134543413686045,153,-177,-177
GC=F.PctChange,DE.PctChange,0.0601484233365194,-0.06121731372376352,0.04067423816051387,0,-90,-90
GC=F.PctChange,NEE.PctChange,0.1457072343856213,0.09921774189057918,0.06715078374197284,0,0,0
GC=F.PctChange,DUK.PctChange,0.15834708043477408,0.11101248714854917,0.07486486479097695,0,0,0
GC=F.PctChange,PLD.PctChange,0.09518060449740645,-0.05802607437828227,0.038653183931966234,0,90,90
GC=F.PctChange,AMT.PctChange,0.14667719693255835,0.10163555259061348,0.06884516006249197,0,0,0
SI=F.PctChange,CL=F.PctChange,0.17812015299734002,0.15972591373760264,0.10868564838044258,0,0,0
SI=F.PctChange,BZ=F.PctChange,0.1923240963973344,0.1538288553210333,0.10448293279075589,0,0,0
SI=F.PctChange,NG=F.PctChange,0.0790637628293629,0.08635782703145663,0.05825045791802705,-170,-170,-170
SI=F.PctChange,HG=F.PctChange,0.3974857384959174,0.390685487596717,0.27129255588071566,0,0,0
